say(Игра| Глава 2: новая жизнь! работа! новые люди!)
say(Main_p| Сегодня четверг я отправляюсь на работу! Работать я буду 5 часов с графиком 5 на 2, Мне сказали что я буду работать с девушкой, интересно как она выглядит?)
say(Main_p| Не знаю, но уверен я с ней познакомлюсь, хаха!)
back(???)
say(Main_p| Работаа, так куда мне?)
say( | Вы взглянули на карту, ничего не поняли и подошли к незнакомому вам человеку, дабы спросить где ваш офис)
say(???| Давай я тебя проведу, ты тут новенький?)
say(Main_p| Да, я новенький, а вы тут сколько работаете?)
say(???| Я здесь работаю около 2 лет. Меня звать Сергей)
say(Main_p| Приятно познакомиться Сергей, Меня звать Main_p)
say(Сергей| Взаимно, вот как раз наш офис)
back(???)
say(Main_p| Наш? вы тоже тут работаете?)
say(Сергей| Да, я тоже работаю в этом офисе, Рыжий что-то говорил насчет тебя, но честно, я забыл)
say(Рыжий| Пааааааарни, что вы так долго?)
say(Рыжий| Я вас заждался, ужас полный!)
say(Сергей| Я его вел до нашего офиса)
say(Main_p| Хех, так всё и было, ведь я не понял куда мне идти сразу)
say(Данил| Рыжий, всё готово, подходи и смотри)
say(Рыжий| Всё, давайте, знакомся с той девушкой и за работу, Main_p)
say(Сергей| Если что обращайся ко мне, я всегда помогу)
say(Main_p| Спасибо!)
say( | Вы подходите к девушке которая работает, она замечает вас и отвлекается от работы)
say(Main_p| Привет! Я Main_p, Вас вроде зовут Олеся, так? (Вау, она такая красивая, её серебристые волосы, выглядят очень красиво, такое чувство что я видел её где-то))
say(Олеся| Да, всё так, но все таки приятно с тобой познакомиться, надеюсь ты будешь хорошим помощником, Main_p)
say(Main_p| Положитесь на меня! Я вас не подведу!)
say(Олеся| Не стоит обращаться ко мне на "вы", давай на "ты"
say(Main_p| Хорошо, пусть так и будет!)
say(Олеся| Держи, можешь сделать это? *она передавала вам, некоторые задания*)
say(Main_p| Да, без проблем, даже могу сказать что это легко)
sprite(Main_p|cuteSmile)
say(Олеся| Отлично, я рада что для тебя это будет легко, твой рабочий компьютер уже подключен в наш гит, заливай в отдельную ветку)
say( | Около 2 часов, вы делали то о чем вас просили, а после был обед, а после опять таки работали)
sprite(Main_p|normal)
back(???)
say(Рыжий| Спасибо всем за сегодняшний день, надеюсь завтра будет такой же легкий и прекрасный день!)
say(Данил| Согласен, всё было прекрасно, До завтра!)
say(Сергей| Удачи вам всем, пока)
say( | Ваши с Олесей взгляды пересеклись и вы начали разговор)
say(Main_p| Сегодняшний день был стрессовым, но благодаря тебе, он прошел намного спокойнее)
say(Олеся| Так же могу сказать, если бы не ты, я бы устала за сегодня, не желаешь пройтись до моего дома?)
say(Main_p| Без проблем, погнали)
say(Олеся| Слушай, ты свободен в эти выходные?)
say(Main_p| Да я свободен, так же у меня в распорежении пустая квартира)
say(Олеся| Это будет здорово, я могу принести с собой настолки, у тебя есть компания друзей с которой ты дружишь?)
say(Main_p| Неа, а у тебя?)
say(Олеся| У меня лишь один друг, как насчет пригласить, Рыжего, Серого, Блондина?)
sprite(Main_p|laugh)
say(Main_p| хахаха, это было хорошо)
sprite(Main_p|normal)
say(Main_p| Давай, Я не буду против всех нас видеть в моем доме)
say(Олеся| Вот и договорились!)

